,self,other,edge,edge_correction,geometry
0,16381,16389,14981,,"LINESTRING (130212.8925999999 5915000.2917, 130201.3980999999 5915097.1087)"
1,16360,16372,14294,,"LINESTRING (130370.3520999998 5914890.4633, 130360.3712999998 5914977.6415)"
3,16395,14079,14605,,"LINESTRING (130289.5086000003 5915158.0352, 130243.4215000002 5915152.6814)"
4,16410,16427,14857,,"LINESTRING (130513.2147000004 5915006.1425, 130515.2835999997 5914989.4493)"
5,16376,16377,14883,,"LINESTRING (130469.9972000001 5914966.4575, 130481.3015999999 5914877.8588)"
6,16356,16360,14884,,"LINESTRING (130384.3625999996 5914892.2288, 130370.3520999998 5914890.4633)"
7,16389,16388,14635,,"LINESTRING (130201.3980999999 5915097.1087, 130194.2440999998 5915146.4526)"
8,16370,16371,14502,,"LINESTRING (130189.8841000004 5914949.9485, 130218.2862 5914953.7597)"
9,14570,16381,14503,,"LINESTRING (130165.1014999999 5914994.6491, 130212.8925999999 5915000.2917)"
10,16366,16369,14504,,"LINESTRING (130310.5656000003 5915012.8288, 130261.2177999998 5915006.3805)"
11,16486,16490,14739,,"LINESTRING (130101.3088999996 5915267.2193, 130178.7923999997 5915275.8168)"
12,16487,16489,14740,,"LINESTRING (130134.6300999997 5915311.461, 130174.4563999996 5915316.4267)"
13,16384,16385,14742,,"LINESTRING (130140.8782000002 5915190.8238, 130188.3432999998 5915195.9119)"
14,16383,16384,14900,,"LINESTRING (130134.8339 5915246.5617, 130140.8782000002 5915190.8238)"
15,16399,16400,14901,,"LINESTRING (130444.4881999996 5915177.2124, 130480.1073000003 5915181.8816)"
16,16400,16402,14902,,"LINESTRING (130480.1073000003 5915181.8816, 130526.1754000001 5915187.2299)"
17,16478,16470,15134,,"LINESTRING (130513.3994000005 5915291.8001, 130560.7396999998 5915297.4011)"
18,16475,16476,15135,,"LINESTRING (130416.7138 5915305.0896, 130419.6683 5915281.1196)"
19,16474,16475,15136,,"LINESTRING (130379.6571000004 5915300.663, 130416.7138 5915305.0896)"
20,16388,16387,14048,,"LINESTRING (130194.2440999998 5915146.4526, 130147.1064999998 5915140.5143)"
21,16386,16387,14049,,"LINESTRING (130160.6782 5915024.3275, 130147.1064999998 5915140.5143)"
23,16401,16408,15201,,"LINESTRING (130492.1513 5915086.0006, 130537.3269999996 5915091.7922)"
24,16408,16402,15236,,"LINESTRING (130537.3269999996 5915091.7922, 130526.1754000001 5915187.2299)"
25,16367,16368,15238,,"LINESTRING (130312.4995999997 5914964.9214, 130266.8696999997 5914959.7284)"
26,16368,16369,15239,,"LINESTRING (130266.8696999997 5914959.7284, 130261.2177999998 5915006.3805)"
27,16363,16367,15240,,"LINESTRING (130318.4742000001 5914921.3116, 130312.4995999997 5914964.9214)"
28,16353,16363,15241,,"LINESTRING (130321.1561000003 5914893.5736, 130318.4742000001 5914921.3116)"
29,16364,16365,15242,,"LINESTRING (130271.2911999999 5914915.1247, 130223.4200999998 5914909.4687)"
30,16369,16381,15243,,"LINESTRING (130261.2177999998 5915006.3805, 130212.8925999999 5915000.2917)"
31,16396,16395,15244,,"LINESTRING (130336.9094000002 5915163.9028, 130289.5086000003 5915158.0352)"
32,16397,16396,15245,,"LINESTRING (130372.3821 5915168.2277, 130336.9094000002 5915163.9028)"
33,16362,16363,13467,,"LINESTRING (130351.6179 5914925.3441, 130318.4742000001 5914921.3116)"
34,16352,16364,13468,,"LINESTRING (130277.8290999997 5914869.8104, 130271.2911999999 5914915.1247)"
35,16371,16381,13469,,"LINESTRING (130218.2862 5914953.7597, 130212.8925999999 5915000.2917)"
37,14070,14570,16595,,"LINESTRING (130170.3360000001 5914948.3308, 130165.1014999999 5914994.6491)"
38,14569,14570,16596,,"LINESTRING (130146.9594000001 5914992.6383, 130165.1014999999 5914994.6491)"
39,14079,16388,16611,,"LINESTRING (130243.4215000002 5915152.6814, 130194.2440999998 5915146.4526)"
40,16477,16478,16675,,"LINESTRING (130467.2426000005 5915286.8545, 130513.3994000005 5915291.8001)"
41,16294,16293,18081,,"LINESTRING (130111.3982999995 5915062.3921, 130081.8491000002 5915059.3301, 130076.6040000003 5915058.7866)"
42,16295,16294,18082,,"LINESTRING (130116.1549000004 5915029.5285, 130111.3982999995 5915062.3921)"
43,16296,16297,18084,,"LINESTRING (130107.1438999996 5915098.1978, 130077.1217 5915095.9947, 130071.9044000003 5915095.6119)"
44,16355,14070,18398,,"LINESTRING (130184.7774 5914832.9516, 130170.3360000001 5914948.3308)"
45,16624,16485,18400,,"LINESTRING (130225.1642000005 5915296.2759, 130230.9892999995 5915252.988)"
46,16398,14076,16614,,"LINESTRING (130397.0530000003 5915170.8914, 130431.6885000002 5915175.3212)"
47,16285,16366,17748,,"LINESTRING (130354.9173999997 5915020.9389, 130310.5656000003 5915012.8288)"
48,14075,16399,15721,,"LINESTRING (130453.4173999997 5915104.0744, 130444.4881999996 5915177.2124)"
51,16405,16476,15724,,"LINESTRING (130428.2099000001 5915208.8432, 130419.6683 5915281.1196)"
52,16375,16508,15648,,"LINESTRING (130467.8572000004 5914990.0736, 130416.4494000003 5914984.2448)"
53,16393,16390,15649,,"LINESTRING (130295.3899999997 5915108.6174, 130249.5570999999 5915102.2272)"
54,14074,16398,15720,,"LINESTRING (130405.3688000003 5915098.4759, 130397.0530000003 5915170.8914)"
55,16351,16365,15645,,"LINESTRING (130228.8705000002 5914862.4482, 130223.4200999998 5914909.4687)"
56,16365,16371,15646,,"LINESTRING (130223.4200999998 5914909.4687, 130218.2862 5914953.7597)"
57,16361,16360,15647,,"LINESTRING (130372.2466000002 5914872.2363, 130370.3520999998 5914890.4633)"
58,16188,16189,16166,,"LINESTRING (130437.0833999999 5914802.4342, 130433.7337999996 5914822.8531)"
59,16472,16478,15672,,"LINESTRING (130508.2855000002 5915332.732, 130513.3994000005 5915291.8001)"
60,16473,16477,15673,,"LINESTRING (130461.4675000003 5915331.3222, 130467.2426000005 5915286.8545)"
61,16300,16355,15323,,"LINESTRING (130191.7698999997 5914786.2108, 130184.7774 5914832.9516)"
62,16372,16285,17924,,"LINESTRING (130360.3712999998 5914977.6415, 130354.9173999997 5915020.9389)"
63,16420,16617,17925,,"LINESTRING (130553.6990999999 5915044.2873, 130460.3609999996 5915035.1816)"
64,16617,16285,17926,,"LINESTRING (130460.3609999996 5915035.1816, 130354.9173999997 5915020.9389)"
65,16021,16023,15428,,"LINESTRING (130572.2900999999 5914842.0157, 130525.0219000001 5914836.1799)"
66,16023,16425,15429,,"LINESTRING (130525.0219000001 5914836.1799, 130517.5429999996 5914883.1488)"
67,16485,14079,16648,,"LINESTRING (130230.9892999995 5915252.988, 130243.4215000002 5915152.6814)"
68,16476,16477,16676,,"LINESTRING (130419.6683 5915281.1196, 130467.2426000005 5915286.8545)"
69,16359,14313,16875,,"LINESTRING (130422.6623 5914935.647, 130429.8793000001 5914876.271)"
70,16191,16354,15421,,"LINESTRING (130334.8907000003 5914792.6198, 130325.5702999998 5914854.3383)"
71,16190,16357,15422,,"LINESTRING (130384.4859999996 5914788.31, 130373.5253999997 5914861.6601)"
72,16025,16189,15424,,"LINESTRING (130478.5278000003 5914829.0947, 130433.7337999996 5914822.8531)"
73,16187,16025,15425,,"LINESTRING (130482.3202999998 5914801.0152, 130478.5278000003 5914829.0947)"
74,16024,16025,15426,,"LINESTRING (130497.0809000004 5914832.1315, 130478.5278000003 5914829.0947)"
75,16022,16023,15427,,"LINESTRING (130527.5432000002 5914812.2589, 130525.0219000001 5914836.1799)"
76,13583,131097,17365,,"LINESTRING (130205.0340999998 5915323.0948, 130084.6008000001 5915307.9793)"
77,16387,16491,16104,,"LINESTRING (130147.1064999998 5915140.5143, 130102.4473999999 5915135.2329)"
78,14076,16399,16105,,"LINESTRING (130431.6885000002 5915175.3212, 130444.4881999996 5915177.2124)"
79,16402,131099,16106,,"LINESTRING (130526.1754000001 5915187.2299, 130569.9368000003 5915192.4933)"
