self;other;geometry;edge;edge_correction
16381;16389;LINESTRING (130212.8925999999 5915000.2917, 130201.3980999999 5915097.1087);14981;
16360;16372;LINESTRING (130370.3520999998 5914890.4633, 130360.3712999998 5914977.6415);14294;
16285;16396;LINESTRING (130354.9173999997 5915020.9389, 130336.9094000002 5915163.9028);14295;
16395;14079;LINESTRING (130289.5086000003 5915158.0352, 130243.4215000002 5915152.6814);14605;
16410;16427;LINESTRING (130513.2147000004 5915006.1425, 130515.2835999997 5914989.4493);14857;
16376;16377;LINESTRING (130469.9972000001 5914966.4575, 130481.3015999999 5914877.8588);14883;
16356;16360;LINESTRING (130384.3625999996 5914892.2288, 130370.3520999998 5914890.4633);14884;
16389;16388;LINESTRING (130201.3980999999 5915097.1087, 130194.2440999998 5915146.4526);14635;
16370;16371;LINESTRING (130189.8841000004 5914949.9485, 130218.2862 5914953.7597);14502;
14570;16381;LINESTRING (130165.1014999999 5914994.6491, 130212.8925999999 5915000.2917);14503;
16366;16369;LINESTRING (130310.5656000003 5915012.8288, 130261.2177999998 5915006.3805);14504;
16486;16490;LINESTRING (130101.3088999996 5915267.2193, 130178.7923999997 5915275.8168);14739;
16487;16489;LINESTRING (130134.6300999997 5915311.461, 130174.4563999996 5915316.4267);14740;
16384;16385;LINESTRING (130140.8782000002 5915190.8238, 130188.3432999998 5915195.9119);14742;
16383;16384;LINESTRING (130134.8339 5915246.5617, 130140.8782000002 5915190.8238);14900;
16399;16400;LINESTRING (130444.4881999996 5915177.2124, 130480.1073000003 5915181.8816);14901;
16400;16402;LINESTRING (130480.1073000003 5915181.8816, 130526.1754000001 5915187.2299);14902;
16478;16470;LINESTRING (130513.3994000005 5915291.8001, 130560.7396999998 5915297.4011);15134;
16475;16476;LINESTRING (130416.7138 5915305.0896, 130419.6683 5915281.1196);15135;
16474;16475;LINESTRING (130379.6571000004 5915300.663, 130416.7138 5915305.0896);15136;
16388;16387;LINESTRING (130194.2440999998 5915146.4526, 130147.1064999998 5915140.5143);14048;
16386;16387;LINESTRING (130160.6782 5915024.3275, 130147.1064999998 5915140.5143);14049;
16408;16409;LINESTRING (130537.3269999996 5915091.7922, 130585.3943999996 5915097.4717);15200;
16401;16408;LINESTRING (130492.1513 5915086.0006, 130537.3269999996 5915091.7922);15201;
16408;16402;LINESTRING (130537.3269999996 5915091.7922, 130526.1754000001 5915187.2299);15236;
16367;16368;LINESTRING (130312.4995999997 5914964.9214, 130266.8696999997 5914959.7284);15238;
16368;16369;LINESTRING (130266.8696999997 5914959.7284, 130261.2177999998 5915006.3805);15239;
16363;16367;LINESTRING (130318.4742000001 5914921.3116, 130312.4995999997 5914964.9214);15240;
16353;16363;LINESTRING (130321.1561000003 5914893.5736, 130318.4742000001 5914921.3116);15241;
16364;16365;LINESTRING (130271.2911999999 5914915.1247, 130223.4200999998 5914909.4687);15242;
16369;16381;LINESTRING (130261.2177999998 5915006.3805, 130212.8925999999 5915000.2917);15243;
16396;16395;LINESTRING (130336.9094000002 5915163.9028, 130289.5086000003 5915158.0352);15244;
